날짜,Open,High,Low,Close,Volume
2024-10-14,34136,34591,34136,34470,5839784
2024-10-15,34645,34670,34370,34593,5514286
2024-10-16,34116,34415,34027,34279,6803454
2024-10-17,34379,34419,34179,34357,5744616
2024-10-18,34420,34473,33997,34156,6288492
2024-10-21,34174,34414,34046,34254,4795515
2024-10-22,34116,34151,33656,33755,7968175
2024-10-23,33787,34316,33658,34190,6808866
2024-10-24,33987,34116,33836,33906,7161091
2024-10-25,33948,34233,33802,33931,5957466
2024-10-28,33973,34297,33944,34240,3580921
2024-10-29,34185,34329,33995,34329,4239018
2024-10-30,34230,34279,33900,33999,6744724
2024-10-31,33677,33840,33470,33550,7981256
2024-11-01,33289,33520,33190,33314,5077289
2024-11-04,33396,33888,33303,33870,6247924
2024-11-05,33555,33811,33496,33679,6342130
2024-11-06,33816,33928,33318,33600,8975071
2024-11-07,33451,33821,33274,33585,6770627
2024-11-08,33898,34017,33446,33545,7467080
2024-11-11,33332,33337,32895,33004,7891902
2024-11-12,32841,32934,32275,32315,9579852
2024-11-13,32053,32240,31438,31488,10780836
2024-11-14,31531,31743,31310,31355,10425108
2024-11-15,31369,31773,31183,31582,8643066
2024-11-18,31930,32575,31911,32315,5985611
2024-11-19,32260,32501,32255,32428,7212982
2024-11-20,32374,32566,32295,32493,4763326
2024-11-21,32319,32708,32304,32532,8021284
2024-11-22,32683,32974,32624,32822,5087401
2024-11-25,33117,33338,32993,33206,6906659
2024-11-26,32994,33131,32940,33103,5103787
2024-11-27,32999,33132,32758,32847,5635282
2024-11-28,32751,32900,32678,32748,3723187
2024-11-29,32629,32629,31905,32128,9159540
2024-12-02,32442,32491,32063,32187,7468632
2024-12-03,32349,32738,32349,32660,5792175
2024-12-04,32083,32453,31965,32217,11535315
2024-12-05,32240,32285,31866,31990,8935571
2024-12-06,32073,32216,31340,31828,12452655
2024-12-09,31379,31512,31006,31036,10832026
2024-12-10,31340,31738,31325,31665,5741952
2024-12-11,31521,32013,31507,31995,4746602
2024-12-12,32196,32550,32078,32453,6883409
2024-12-13,32372,32732,32294,32600,7305900
2024-12-16,32821,32915,32418,32483,5059044
2024-12-17,32436,32456,32058,32108,5546380
2024-12-18,32186,32658,32186,32561,4508369
2024-12-19,31748,31984,31669,31823,5792726
2024-12-20,31688,31688,31127,31365,9858066
2024-12-23,31635,31999,31522,31892,7036672
2024-12-24,32034,32069,31783,31917,5284154
2024-12-26,32028,32028,31704,31729,3257188
2024-12-27,31674,31812,31374,31641,4926830
2024-12-30,31527,31940,31443,31557,4228810
2025-01-02,31428,31590,31241,31488,5826485
2025-01-03,31478,32339,31468,32118,9081498
2025-01-06,32216,32886,32168,32808,7741930
2025-01-07,33118,33329,32808,32818,7809496
2025-01-08,32541,33309,32541,33133,8280703
2025-01-09,33117,33447,33077,33157,9121681
2025-01-10,33136,33339,32954,33108,10664538
2025-01-13,32924,33022,32585,32669,8135448
2025-01-14,32861,32886,32556,32813,5974286
2025-01-15,32939,33185,32693,32763,7209757
2025-01-16,33210,33357,33116,33230,6840660
2025-01-17,33096,33253,32983,33161,5491487
2025-01-20,33324,33339,33033,33108,5772214
2025-01-21,33309,33565,32950,33138,7238452
2025-01-22,33372,33618,33205,33516,5093604
2025-01-23,33471,33480,33107,33157,4013697
2025-01-24,33320,33498,33187,33355,7908771
2025-01-31,32989,33078,32742,33029,7873684
2025-02-03,32322,32322,31878,32125,15803317
2025-02-04,32520,32984,32391,32525,12207053
2025-02-05,32875,33068,32796,32910,6581266
2025-02-06,33122,33250,32979,33241,5131965
2025-02-07,33261,33290,32989,33024,7956219
2025-02-10,32851,33172,32702,33093,6573203
2025-02-11,33266,33513,33162,33355,7890208
2025-02-12,33300,33438,33117,33399,8097586
2025-02-13,33513,33770,33483,33770,6681806
